Yulin,110.15,22.63
Zaozhuang,117.57,34.88
Zhanjiang,110.38,21.2
Zhengzhou,113.67,34.75
Zhenjiang,119.43,32.22
Zhuzhou,113.15,27.83
Zibo,118.05,36.8
AFGHANISTAN,69.183333,34.516667
ALBANIA,19.818889,41.3275
ALGERIA,3.050556,36.763056
ANDORRA,1.516667,42.5
ANGOLA,13.234444,-8.838333
ANGUILLA,-63.05,18.216667
ANTIGUA AND BARBUDA,-61.85,17.116667
ARGENTINA,-58.6725,-34.5875
ARMENIA,44.513611,40.181111
ARUBA,-70.033333,12.516667
AUSTRALIA,149.216667,-35.283333
AUSTRIA,16.366667,48.2
BAHAMAS,-77.35,25.083333
BAHRAIN,50.583056,26.236111
BANGLADESH,90.408611,23.723056
BARBADOS,-59.616667,13.1
BELARUS,27.566667,53.9
BELGIUM,4.333333,50.833333
BELIZE,-88.766667,17.25
BELIZE,20.468056,44.818611
BENIN,2.616667,6.483333
BERMUDA,-64.783889,32.294167
BHUTAN,89.6,27.483333
BOLIVIA,-65.259167,-19.043056
BOLIVIA,-68.15,-16.5
BOSNIA AND HERZEGOVINA,18.383333,43.85
BOTSWANA,25.911944,-24.646389
BRAZIL,-47.916667,-15.783333
BRITISH VIRGIN ISLANDS,-64.616667,18.416667
BRUNEI,114.933333,4.883333
BULGARIA,23.316667,42.683333
BURKINA FASO,-1.524722,12.370278
BURMA,96.129722,19.745
BURMA,96.156111,16.805278
BURUNDI,29.3644,-3.3822
CAMBODIA,104.916667,11.55
CAMEROON,11.516667,3.866667
CANADA,-75.7,45.416667
CAPE VERDE,-23.516667,14.916667
CAYMAN ISLANDS,-81.383333,19.3
CENTRAL AFRICAN REPUBLIC,18.583333,4.366667
CHAD,15.048173,12.108502
CHILE,-70.666667,-33.45
CHINA,116.388333,39.928889
CHRISTMAS ISLAND,105.716667,-10.416667
COLOMBIA,-72.134913,1.496406
COLOMBIA,-73.208333,2.938333
COLOMBIA,-74.083333,4.6
COMOROS,43.240278,-11.704167
CONGO,DEMOCRATIC REPUBLIC OF THE,15.315
CONGO. REPUBLIC OF THE,15.284722,-4.259167
COOK ISLANDS,-159.775,-21.207778
COSTA RICA,-84.083333,9.933333
COTE DIVOIRE,-5.283333,6.816667
CROATIA,16,45.8
CUBA,-82.364167,23.131944
CYPRUS,33.366667,35.166667
CZECH REPUBLIC,14.466667,50.083333
DENMARK,12.583333,55.666667
DJIBOUTI,43.148056,11.595
DOMINICA,-61.4,15.3
DOMINICAN REPUBLIC,-69.9,18.466667
ECUADOR,-78.5,-0.216667
EGYPT,-61.083333,14.6
EGYPT,31.25,30.05
EL SALVADOR,-89.203056,13.708611
EQUATORIAL GUINEA,8.783333,3.75
ESTONIA,24.728056,59.433889
ETHIOPIA,38.749226,9.024325
FALKLAND ISLANDS,-57.85,-51.7
FAROE ISLANDS,-6.766667,62.016667
FIJI,178.416667,-18.133333
FINLAND,24.934167,60.175556
FRANCE,2.333333,48.866667
FRENCH GUIANA,-52.333333,4.933333
FRENCH POLYNESIA,-149.566667,-17.533333
GABON,9.45,0.383333
GAMBIA,THE,-16.5775
GEORGIA,44.790833,41.725
GERMANY,13.4,52.516667
GHANA,-0.216667,5.55
GIBRALTAR,-5.35,36.133333
GREECE,23.733333,37.983333
GREENLAND,-51.75,64.183333
GRENADA,-61.083333,14.6
GRENADA,-61.75,12.05
GUATEMALA,-90.526944,14.621111
GUERNSEY,-2.540833,49.456111
GUINEA,-13.712222,9.509167
GUINEA-BISSAU,-15.583333,11.85
GUYANA,-58.166667,6.8
HAITI,-72.335,18.539167
HONDURAS,-87.216667,14.1
HONG KONG,114.15,22.283333
HUNGARY,19.083333,47.5
ICELAND,-21.95,64.15
INDIA,77.2,28.6
INDONESIA,106.829444,-6.174444
IRAN,51.4216,35.705
IRAN,51.677608,32.657218
IRAQ,44.400876,33.340582
IRELAND,-6.248889,53.333056
ISLE OF MAN,-4.483333,54.15
ITALY,12.483333,41.9
JAMAICA,-76.8,18
JAPAN,139.751389,35.685
JERSEY,-2.1,49.183333
JORDAN,35.933333,31.95
KAZAKHSTAN,71.427778,51.181111
KENYA,36.816667,-1.283333
KIRIBATI,169.533333,-0.883333
KIRIBATI,172.966667,1.316667
KIRIBATI,49.882222,40.395278
KUWAIT,47.978333,29.369722
KYGRYZSTAN,74.600278,42.873056
LAOS,102.6,17.966667
LATVIA,24.1,56.95
LEBANON,20.468056,44.818611
LEBANON,35.509722,33.871944
LESOTHO,27.483333,-29.316667
LIBERIA,-10.804722,6.310556
LIBYA,13.18,32.8925
LIECHTENSTEIN,9.516667,47.133333
LITHUANIA,25.316667,54.683333
LUXEMBOURG,6.13,49.611667
MACAU,113.546111,22.200556
MACEDONIA,THE FORMER YUGOSLAV REPUBLIC OF,21.433333
MADAGASCAR,47.516667,-18.916667
MALAWI,33.783333,-13.983333
MALAYSIA,101.7,3.166667
MALDIVES,73.5,4.166667
MALI,-8,12.65
MALTA,14.514722,35.899722
MARSHALL ISLANDS,171.383333,7.1
MAURITANIA,-15.981855,18.083117
MAURITIUS,57.498889,-20.161944
MEXICO,-99.138611,19.434167
MICRONESIA,FEDERATED STATES OF,158.15
MOLDOVA,28.8575,47.005556
MONACO,7.416667,43.733333
MONGOLIA,106.916667,47.916667
MONTSERRAT,-62.216667,16.7
MOROCCO,-6.844268,34.013784
MOZAMBIQUE,32.589167,-25.965278
NAMIBIA,17.083611,-22.57
NEPAL,85.316667,27.716667
NETHERLANDS,4.3,52.083333
NETHERLANDS,4.916667,52.35
NEW CALEDONIA,166.45,-22.266667
NEW ZEALAND,174.783333,-41.3
NICARAGUA,-86.268333,12.150833
NIGER,2.116667,13.516667
NIGERIA,7.533333,9.083333
NIUE,-169.916667,-19.016667
NORTH KOREA,125.754722,39.019444
NORWAY,10.75,59.916667
OMAN,58.593333,23.613333
PAKISTAN,73.0551,33.69
PALAU,134.483333,7.333333
PALAU,134.634167,7.493333
PALAU,45.227222,-12.779444
PANAMA,-79.533333,8.966667
PAPUA NEW GUINEA,147.1925,-9.464722
PARAGUAY,-57.666667,-25.266667
PERU,-77.05,-12.05
PHILIPPINES,120.982222,14.604167
PITCAIRN ISLAND,-130.083333,-25.066667
POLAND,21,52.25
PORTUGAL,-9.133333,38.716667
QATAR,51.533333,25.286667
REUNION,55.466667,-20.866667
ROMANIA,26.1,44.433333
RUSSIA,21.166667,42.666667
RUSSIA,37.615556,55.752222
RWANDA,30.060556,-1.953611
SAINT HELENA,-5.716667,-15.933333
SAINT KITTS AND NEVIS,-61.716667,16
SAINT KITTS AND NEVIS,-62.716667,17.3
SAINT LUCIA,-61,14
SAINT PIERRE AND MIQUELON,-56.183333,46.766667
SAINT VINCENT AND THE GRENADINES,-61.216667,13.133333
SAMOA,-171.770068,-13.831151
SAN MARINO,12.45,43.933333
SAO TOME AND PRINCIPE,6.733333,0.333333
SAUDI ARABIA,46.772778,24.640833
SENEGAL,-17.633889,14.736667
SEYCHELLES,55.45,-4.616667
SIERRA LEONE,-13.234167,8.49
SINGAPORE,103.855833,1.293056
SINGAPORE,20.468056,44.818611
SLOVAKIA,17.116667,48.15
SLOVENIA,14.514444,46.055278
SOLOMON ISLANDS,159.95,-9.433333
SOMALIA,45.366667,2.066667
SOUTH AFRICA,21.166667,42.666667
SOUTH AFRICA,28.229444,-25.706944
SOUTH KOREA,126.9783,37.5985
SPAIN,-3.683333,40.4
SRI LANKA,79.847778,6.931944
SRI LANKA,79.908333,6.902778
SUDAN,32.534167,15.588056
SURINAME,-55.166667,5.833333
SVALBARD,15.633333,78.216667
SWAZILAND,31.133333,-26.316667
SWAZILAND,31.2,-26.466667
SWEDEN,18.05,59.333333
SWITZERLAND,7.466667,46.916667
SYRIA,36.299554,33.512403
TAIWAN,121.531846,25.047763
TAJIKISTAN,68.773889,38.56
TANZANIA,39.283333,-6.8
THAILAND,100.501444,13.753979
TOGO,1.222778,6.131944
TONGA,-175.2,-21.133333
TRINIDAD AND TOBAGO,-61.516667,10.65
TUNISIA,10.179722,36.802778
TURKEY,32.864444,39.927222
TURKMENISTAN,38.933333,15.333333
TURKMENISTAN,58.383333,37.95
TURKS AND CAICOS ISLANDS,-71.133333,21.466667
TUVALU,179.216667,-8.516667
UGANDA,32.565556,0.315556
UKRAINE,30.516667,50.433333
UNITED ARAB EMIRATES,54.366667,24.466667
UNITED KINGDOM,-0.093145,51.514248
URUGUAY,-56.170833,-34.858056
UZBEKISTAN,69.25,41.316667
VANUATU,168.316667,-17.733333
VENEZUELA,-66.916667,10.5
VIETNAM,105.85,21.033333
YEMEN,44.206667,15.354722
ZAMBIA,28.283333,-15.416667
ZIMBABWE,31.044722,-17.817778
